Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
PRODUCT,P.WHITE 2 (93X33),PCS,110,,P.WHITE 2 (93X33),100,,,,,,34,,,,,
PRODUCT,BLACK MARKINO (112X34),PCS,140,,BLACK MARKINO (112X34),130,,,,,,38,,,,,
PRODUCT,BLACK POUL (95X39),PCS,130,,BLACK POUL (95X39),120,,,,,,36,,,,,
PRODUCT,MULTI WHITE (110X34),PCS,120,,MULTI WHITE (110X34),110,,,,,,38,,,,,
PRODUCT,LEATHER BROWN (120X34),PCS,140,,LEATHER BROWN (120X34),130,,,,,,17,,,,,
PRODUCT,CHITRA BLACK (92X350,PCS,130,,CHITRA BLACK (92X350,120,,,,,,32,,,,,
PRODUCT,CATSAI (120X27) ,PCS,120,,CATSAI (120X27) ,100,,,,,,17,,,,,
PRODUCT,BROWN GRANITE (121X40) ,PCS,130,,BROWN GRANITE (121X40) ,120,,,,,,53,,,,,
PRODUCT,LEATHER WHITE (120X38),PCS,130,,LEATHER WHITE (120X38),120,,,,,,31,,,,,
PRODUCT,CHITRA BROWN (100X36),PCS,130,,CHITRA BROWN (100X36),120,,,,,,28,,,,,
PRODUCT,CHINA WHITE (98X30) ,PCS,100,,CHINA WHITE (98X30) ,90,,,,,,34,,,,,
PRODUCT,MARBLE SLAB COTTNY (85X33),PCS,140,,MARBLE SLAB COTTNY (85X33),130,,,,,,68,,,,,
PRODUCT,(89X31),PCS,140,,(89X31),130,,,,,,44,,,,,
PRODUCT,(75X50),PCS,140,,(75X50),130,,,,,,81,,,,,
PRODUCT,(78X42),PCS,140,,(78X42),130,,,,,,57,,,,,
PRODUCT,ONEX     (52X44),PCS,130,,ONEX     (52X44),120,,,,,,65,,,,,
PRODUCT,(52X46),PCS,130,,(52X46),120,,,,,,11,,,,,
PRODUCT,(54X48) ,PCS,130,,(54X48) ,120,,,,,,20,,,,,
PRODUCT,AGRIYA WHITE (48X48),PCS,120,,AGRIYA WHITE (48X48),110,,,,,,11,,,,,
PRODUCT,(81X48),PCS,120,,(81X48),110,,,,,,46,,,,,
PRODUCT,(69X29) ,PCS,130,,(69X29) ,110,,,,,,19,,,,,
PRODUCT,PISTA WHITE (61X39),PCS,120,,PISTA WHITE (61X39),100,,,,,,51,,,,,
PRODUCT,(62X42) ,PCS,120,,(62X42) ,100,,,,,,86,,,,,
PRODUCT,(68X33),PCS,120,,(68X33),100,,,,,,18,,,,,
PRODUCT,PISTA BLACK (76X36),PCS,100,,PISTA BLACK (76X36),90,,,,,,48,,,,,
PRODUCT,(68X49),PCS,100,,(68X49),90,,,,,,31,,,,,
PRODUCT,(67X41),PCS,100,,(67X41),90,,,,,,45,,,,,
PRODUCT,(67X49),PCS,100,,(67X49),90,,,,,,34,,,,,
PRODUCT,LEMON DUNGURI (110X42),PCS,100,,LEMON DUNGURI (110X42),90,,,,,,16,,,,,
PRODUCT,(48X50),PCS,100,,(48X50),90,,,,,,30,,,,,
PRODUCT,NIJORNA WHITE (78X32),PCS,90,,NIJORNA WHITE (78X32),80,,,,,,27,,,,,
PRODUCT,MORWORD WHITE (46X39),PCS,90,,MORWORD WHITE (46X39),80,,,,,,10,,,,,
PRODUCT,V. BLACK (45X48),PCS,100,,V. BLACK (45X48),90,,,,,,31,,,,,
