Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,600X600 SAKAR DC PISTA,BOX,650,,,588,,,,,,104,,,,,
Product,600X600 SAKAR DC 2029 NANO,BOX,520,,,470,,,,,,94,,,,,
Product,600X600 SAKAR DC TROPIC WHITE,BOX,650,,,588,,,,,,58,,,,,
Product,600X600 SAKAR DC PLATINUM ALMUND,BOX,720,,,650,,,,,,143,,,,,
Product,600X600 SAKAR DC 2023,BOX,520,,,470,,,,,,78,,,,,
Product,600X600 SAKAR DC 2033,BOX,520,,,470,,,,,,100,,,,,
Product,600X600 SAKAR DC TROPIC GOLD,BOX,650,,,588,,,,,,481,,,,,
Product,600X600 SAKAR DC PLAIN WHITE,BOX,650,,,588,,,,,,171,,,,,
Product,600X600 SAKAR DC 1161 RUSTIC,BOX,650,,,588,,,,,,177,,,,,
Product,600X600 SAKAR DC 1102 GBD,BOX,650,,,588,,,,,,48,,,,,
Product,600X600 SAKAR DC GALAXY WHITE STD,BOX,620,,,560,,,,,,162,,,,,
Product,600X1200 MM FLOOR TILE HL 22241,BOX,800,,,670,,,,,,93,,,,,
Product,600X1200 MM FLOOR TILE HG 22229,BOX,800,,,670,,,,,,99,,,,,
Product,600X1200 MM FLOOR TILE HG 97,BOX,850,,,720,,,,,,97,,,,,
Product,800X800 DC GALAXY WHITE,BOX,1050,,,950,,,,,,125,,,,,
Product,800X800 DC TROPIC PINK,BOX,1050,,,950,,,,,,103,,,,,
Product,2X2 CHINA RANGOLI,PCS,1000,,,850,,,,,,69,,,,,
Product,MARBLE MANDIR,PCS,8000,,,7000,,,,,,14,,,,,
Product,24X18 STEEL SINK,PCS,1500,,,1150,,,,,,23,,,,,
Product,GOD PIC 3X2 GLASS,PCS,1500,,,1000,,,,,,3,,,,,
Product,4X2 POSTURE,PCS,1800,,,1450,,,,,,187,,,,,
Product,18X12 GOD,PCS,200,,,160,,,,,,197,,,,,
Product,15X10 GOD,PCS,120,,,80,,,,,,44,,,,,
Product,2X2 GOD POSTURE,PCS,600,,,500,,,,,,74,,,,,
Product,2X2 PLAIN RANGOLI,PCS,500,,,400,,,,,,15,,,,,
Product,22 INCH ODISHA PAIN,PCS,450,,,350,,,,,,177,,,,,
Product,PEDESTAL,PCS,2000,,,1600,,,,,,66,,,,,
Product,BHITRUSHA SET,PCS,2800,,,2200,,,,,,34,,,,,
Product,ESTRACK,PCS,1100,,,800,,,,,,19,,,,,
Product,P. TRAP,PCS,1100,,,800,,,,,,10,,,,,
Product,CRUSET,PCS,8000,,,6200,,,,,,8,,,,,
Product,WALL BASIN,PCS,1200,,,800,,,,,,16,,,,,
Product,TABLE BASIN,PCS,1800,,,1400,,,,,,14,,,,,
Product,GROUT AUSTRAL ALL COL,CASE,1800,,,1500,,,,,,50,,,,,
Product,ADHESIVE,BAG,500,,,400,,,,,,50,,,,,
Product,URINAL GENTS,PCS,900,,,600,,,,,,20,,,,,
Product,URINAL LADIES,PCS,500,,,400,,,,,,20,,,,,
Product,MURTI,PCS,4000,,,3700,,,,,,15,,,,,
Product,MARBLE RANGOLI,PCS,3500,,,3000,,,,,,13,,,,,
