Type,Item,code,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,MARBLE SLAB GREEN MARBLE 110X30,MS0025,PCS,80,,,80,,,,,,81,,,,,
Product,MARBLE SLAB LIRA CUT SIZE GREEN POLISH 27X24,MS0026,PCS,75,,,70,,,,,,10,,,,,
Product,MARBLE SLAB LIRA CUT SIZE GREEN POLISH 30X24,MS0027,PCS,75,,,70,,,,,,17,,,,,
Product,MARBLE SLAB LIRA CUT SIZE GREEN POLISH 33X24,MS0028,PCS,75,,,70,,,,,,28,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X24,MS0029,PCS,55,,,50,,,,,,49,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X27,MS0030,PCS,55,,,50,,,,,,355,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X30,MS0031,PCS,55,,,50,,,,,,359,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X33,MS0032,PCS,55,,,50,,,,,,329,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X36,MS0033,PCS,55,,,50,,,,,,139,,,,,
Product,600X600 SAKAR DC CHRISTAL CHOCO,SAK0001,BOX,720,,,650,,,,,,156,,,,,
Product,600X600 SAKAR DC TROPIC CRIMA,SAK0002,BOX,650,,,588,,,,,,425,,,,,
Product,600X600 SAKAR DC GALAXY WHITE,SAK0003,BOX,650,,,588,,,,,,156,,,,,
Product,600X600 SAKAR DC 1128 GLOSSY,SAK0004,BOX,650,,,588,,,,,,104,,,,,
Product,600X600 SAKAR DC RUSTIC 1170,SAK0005,BOX,650,,,588,,,,,,154,,,,,
Product,600X600 SAKAR DC PLATINA BROWN,SAK0006,BOX,720,,,650,,,,,,451,,,,,
Product,600X600 SAKAR DC TROPIC PECH,SAK0007,BOX,650,,,588,,,,,,161,,,,,
Product,600X600 SAKAR DC PLATINA GREEN,SAK0008,BOX,720,,,650,,,,,,101,,,,,
Product,600X600 SAKAR DC PLATINUM SLATE,SAK0009,BOX,720,,,650,,,,,,196,,,,,
Product,600X600 SAKAR DC PISTA,SAK0010,BOX,650,,,588,,,,,,104,,,,,
Product,600X600 SAKAR DC 2029 NANO,SAK0011,BOX,520,,,470,,,,,,94,,,,,
Product,600X600 SAKAR DC TROPIC WHITE,SAK0012,BOX,650,,,588,,,,,,58,,,,,
Product,600X600 SAKAR DC PLATINUM ALMUND,SAK0013,BOX,720,,,650,,,,,,143,,,,,
Product,600X600 SAKAR DC 2023,SAK0014,BOX,520,,,470,,,,,,78,,,,,
Product,600X600 SAKAR DC 2033,SAK0015,BOX,520,,,470,,,,,,100,,,,,
Product,600X600 SAKAR DC TROPIC GOLD,SAK0016,BOX,650,,,588,,,,,,481,,,,,
Product,600X600 SAKAR DC PLAIN WHITE,SAK0017,BOX,650,,,588,,,,,,171,,,,,
Product,600X600 SAKAR DC 1161 RUSTIC,SAK0018,BOX,650,,,588,,,,,,177,,,,,
Product,600X600 SAKAR DC 1102 GBD,SAK0019,BOX,650,,,588,,,,,,48,,,,,
Product,600X600 SAKAR DC GALAXY WHITE STD,SAK0020,BOX,620,,,560,,,,,,162,,,,,
Product,600X1200 MM FLOOR TILE HL 22241,SM0001,BOX,800,,,670,,,,,,93,,,,,
Product,600X1200 MM FLOOR TILE HG 22229,SM0002,BOX,800,,,670,,,,,,99,,,,,
Product,600X1200 MM FLOOR TILE HG 97,SM0003,BOX,850,,,720,,,,,,97,,,,,
Product,800X800 DC GALAXY WHITE,SM0004,BOX,1050,,,950,,,,,,125,,,,,
Product,800X800 DC TROPIC PINK,SM0005,BOX,1050,,,950,,,,,,103,,,,,
Product,2X2 CHINA RANGOLI,SM0006,PCS,1000,,,850,,,,,,69,,,,,
Product,MARBLE MANDIR,SM0007,PCS,8000,,,7000,,,,,,14,,,,,
Product,24X18 STEEL SINK,SM0008,PCS,1500,,,1150,,,,,,23,,,,,
Product,GOD PIC 3X2 GLASS,SM0009,PCS,1500,,,1000,,,,,,3,,,,,
Product,4X2 POSTURE,SM0010,PCS,1800,,,1450,,,,,,187,,,,,
Product,18X12 GOD,SM0011,PCS,200,,,160,,,,,,197,,,,,
Product,15X10 GOD,SM0012,PCS,120,,,80,,,,,,44,,,,,
Product,2X2 GOD POSTURE,SM0013,PCS,600,,,500,,,,,,74,,,,,
Product,2X2 PLAIN RANGOLI,SM0014,PCS,500,,,400,,,,,,15,,,,,
Product,22 INCH ODISHA PAIN,SM0015,PCS,450,,,350,,,,,,177,,,,,
Product,PEDESTAL,SM0016,PCS,2000,,,1600,,,,,,66,,,,,
Product,BHITRUSHA SET,SM0017,PCS,2800,,,2200,,,,,,34,,,,,
Product,ESTRACK,SM0018,PCS,1100,,,800,,,,,,19,,,,,
